,Reviews,Sentiment,Overall Sentiment
217,19. Moti mehal delux tandoori trail is a family restaurant and lovely place to dine with your love ones....you will get variety in food menu....and decent place.,"{'neg': 0.0, 'neu': 0.2, 'pos': 0.8, 'compound': 0.8402}",Positive
218,"20. naan I ordered were like rubber, packing was not that great, delivery was late. food was ok.","{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",Positive
219,"21. stuffed Mushrooms with french fries is the main thing I loved.. It was so yummy n crispy that we felt the need to order another plate. These mushrooms are stuffed with panner and deep fried. Along with it, we get french fries which are very crispy & chatpata onion...Paneer tikka masala is my all time favorite in curries. The one thing which disappointed me was blyeberry slush. It had taste of crushed seeds of lemon. the presentation was good but tast was terrible","{'neg': 0.263, 'neu': 0.351, 'pos': 0.386, 'compound': 0.6369}",Positive
220,22. The restaurant was closed and they were still taking up orders. Moti Mahal is declining in it's services for some time now. Their quality has also detoriated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
221,23. The quantity of the chicken biryani was too good. Taste was ok-ok only. Like 2 people can eat 1 chicken biryani. It was worth it. But It looked like it had too much colour and spices in it. The gulabjamun was too costly and not worth it. They don t provide any disposable spoon/plate with the food.,"{'neg': 0.097, 'neu': 0.417, 'pos': 0.486, 'compound': 0.6808}",Positive
222,"24. Excellent food in moti mahal restaurent in delhi , tandoori trail i food quality is so ossam me & my family is so happy aftet the eat food this outlet","{'neg': 0.0, 'neu': 0.119, 'pos': 0.881, 'compound': 0.8126}",Positive
223,25. Pathetic tandori chicken...i ordered half portion of tandori chicken and its was pathetic.. bland and tasteless ...it was just like having a bland tandori chicken with no flavours...i called and complained them and they said sorry for this time as it was a closing order...shitt food and shitt repond..,"{'neg': 0.695, 'neu': 0.305, 'pos': 0.0, 'compound': -0.886}",Negative
224,26. Delivered plain roti instead of butter roti and mushroom looked stale ( extremely black in colour). I didn't expect this kind of hospitality from moti mahal. I want my money back.,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",Positive
225,27. Chicken was undercooked than usual. It's is my favorite place for butter chicken. You are good please keep continuing good work. You will grow a lot,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.8316}",Positive
226,"28. Bad smell, unhygienic","{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",Negative
227,29. food was tasty and fresh,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Neutral
228,30. smelling chicken dnt ever try this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
229,31. taste is good and well prepared,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7096}",Positive
230,32. dal was undercooked,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
231,33. This time food quality was poor.,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",Negative
232,34. Food was very tasty especially paneer lababdar. I have given 1 rating less because we had ordered butter roti but we got plain roti. Also zomato shown very appreciable gesture by returning the total cost of butter roti....,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
233,35. Delivers what it promises. The portions are huge. Zomato treats is an added bonus with a surprisingly delicious gulabzamun. Totally worth it.,"{'neg': 0.0, 'neu': 0.136, 'pos': 0.864, 'compound': 0.8932}",Positive
234,36. stale chicken tikka masala...hopeless and stinking food.This dish has been our favourite for very long but the quality has deteriorated . Moti Mahal has started serving stale and spoilt food. no more ordering from here.,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.5267}",Negative
235,37. Naan were unchewable. The packaging of breads/ naan need more thinking because it become hard to bite when packed hot in aluminium foil. This can be avoided if packed in paper thereafter in foil.,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.4215}",Negative
236,38. Item missing and quality and quantity of the food was overall just about average. I ll think twice before ordering from this place again. Or treat it as a last resort.,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",Negative
237,39. Ramji di Hatti and Moti Mahal both have cheated....They have taken payment for 3 naan and instead delivered only 1 naan. Now they are not picking up the call also. Paneer lababdor was not hot it was cooked before and delivered. Onion was smelling like rotten.,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5106}",Negative
238,"40. We have ordered kadhi chicken and butter roti for dinner. Well kadhi chicken is good. Quantity of chicken and quality were good. But, we ordered butter roti and they delivered us normal roti. Its not expecting from a chain so renowned.","{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.7845}",Positive
239,41. next time send some freshly prepared less roasted roti,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.2263}",Positive
240,"42. Horrible packaging. There was spillage all over, the food was served cold. Horrible experience.","{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.7906}",Negative
241,43. Good quantity. Good taste. Keep it up guys,"{'neg': 0.0, 'neu': 0.147, 'pos': 0.853, 'compound': 0.7003}",Positive
242,"44. Moti Mahal Delux is a value for money Mughlai cuisine restaurant.  The food arrived hot and fresh, delivery was prompt. Murg Methi Malai half comes in a large bucket i.e. it is generous portion of a well prepared tasty chicken dish. Mix Raita is a very good side dish to have with their fragrant Veg Biryani. Overall an above average restaurant which offers 15% discount on Zomato, well worth trying for home delivery of quality Mughlai food.","{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.9118}",Positive
243,45. We ordered biryani but korma came rest was ok the taste was good and we always order from Moti mahal. Kindly see to this as this should be taken care,"{'neg': 0.0, 'neu': 0.376, 'pos': 0.624, 'compound': 0.8074}",Positive
244,46. Very nice and professional service. Great packaging.,"{'neg': 0.0, 'neu': 0.127, 'pos': 0.873, 'compound': 0.7845}",Positive
245,47. On time delivery and delicious food!!,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",Positive
246,48. Quantity was very good. Food was tasty and felt like value for money.,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",Positive
247,49. last night we ordered food from this place. I have to say it was one of the most horrible food experiences for us. We ordered butter chicken and malai kofta. The chicken was undercooked and raw and was pathetic to eat. The malai kofta had a weird funky taste and it was sour when it s suppose to be a little sweeter. We ordered food at 12 n had to just eat with the butter chicken gravy coz the manager told us that we have had a lot of orders today but you are the only one who s complaining. Never ever ordering from this place. Only good part the street dogs had a feast. Our street dogs Were Blessing Moti Mahal east Patel Nagar. We all slept almost empty stomach.,"{'neg': 0.37, 'neu': 0.547, 'pos': 0.083, 'compound': -0.8407}",Negative
248,"50. Super fast delivery! Delicious butter chicken, do try.","{'neg': 0.0, 'neu': 0.116, 'pos': 0.884, 'compound': 0.8225}",Positive
249,"1. An array of North Indian food. Bringing the highway to the heart of the city. Cannot stop eating here. Amazingly soft paneer cubes. Chicken tandoori, Chicken Shawarma and Galouti kebab is to die for. Heaven on earth for foodies. Don't miss the ravishing Daal Makhani.","{'neg': 0.32, 'neu': 0.501, 'pos': 0.179, 'compound': -0.4243}",Negative
250,2. One of the best place to enjoy street foods. Shami kabab dahi kabab chicken seekh chicken shawarma amtitsari fish.. they have a wide variety of foods. Starters are the best here. Gravy and biryani items are okay. Must try for All.,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.8555}",Positive
251,3. This place has always been a heaven for Galoti kebab and chicken curry lovers. Every dish that I have tried in this outlet is amazing. All the dishes are mouthwatering. Once you visit this place you'll again crave for rajinder's Galoti kebab.,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.7964}",Positive
252,4. Poor quality.....over priced.... No proper sanitization....waste of money,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",Negative
253,5. Ordered chicken with naan. The best place to eat chicken is Rajinder da dhaba,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",Positive
254,"6. Had the most amazing paneer and naan, delivered while still hot and scrumptious","{'neg': 0.0, 'neu': 0.225, 'pos': 0.775, 'compound': 0.7845}",Positive
255,7. Great tandoori and snack items. I love the enthusiasm of the service staff.,"{'neg': 0.0, 'neu': 0.108, 'pos': 0.892, 'compound': 0.8519}",Positive
256,"8. This place is already very famous ,everyone knows about its quality, quantity & prices. It is best in every aspect. No doubts about anything at this plac","{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",Positive
257,9. Paradise for non-veg lovers. Those who have visited earlier and the one who visit from outside Delhi swear by the variety and taste. Though there is very little seating area but who wants that. Enjoy the food under open sky..Must visit if you are staying near Safdarjung area..This place has grown from small to multi-shop outlet. Another good thing...service is prompt..Go try once..,"{'neg': 0.074, 'neu': 0.682, 'pos': 0.243, 'compound': 0.4062}",Positive
258,"10. Rajinder da dhaba, dhaba name is not matter the taste and quality of food is very good. In the beginning of Feb, I had Afghani chicken with very good taste","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",Positive
259,"11. We tried the restaurant for the first time last night and the food was great, freshly cooked very tasty and well presented. The waiters were attentive and service overall was good. The restaurant looked to have been recently decorated. Overall a good meal and great value we will certainly be going bac","{'neg': 0.0, 'neu': 0.373, 'pos': 0.627, 'compound': 0.9552}",Positive
260,12. VERY VERY BAD EXPERIENCE FOR THE FIRST TIME,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",Negative
261,"13. I have been a fan of this place since my teenage years but not anymore, the quality of the food has severely deteriorated, the portions have become less of what was usually served, the service has worsen.","{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.4588}",Negative
262,"14. Food is superb, all time fav but the way they pack chicken burra is not upto the mark. This is pkd in some kind of plates which results in coming out all masala & oil in polybag....vch makes chicken dry hence pls improve the packing.","{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.7096}",Positive
263,"15. Visited here a few days back, but couldn't get the legendary chicken curry as they serve that in the evening only so had lunch at RDX dinning area, the food was just ok as we had Chicken curry and Nan and it was very regular stuff but not bad, so will visit again in the evening....","{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",Negative
264,16. A signature place for North Indian cuisines...Amazing Non-Veg and Veg snacks as well as Curries... Especially the curries are a perfect blend of masalas and spices with lotta ghee... One can Hogg onto it with their choice of breads... Place for casual eating but big time eating...,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.8928}",Positive
265,17. Chicken lollipop is too yummy. Can't stop myself! It is perfectly fried and served with chutney to increase the flavour of the snack in whole.,"{'neg': 0.0, 'neu': 0.283, 'pos': 0.717, 'compound': 0.8225}",Positive
266,18. This is a must try. I have order it several times.. only problem is sitting arrangements at the dhabA.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
267,19. Super bland and average tandoori chicken and tasteless butter chicken is what i got to eat.. i don't know if my tastebuds are gone wild or what but it was highly disappointing...i will not go and neither recommend... N number of better places to have good chicken,"{'neg': 0.467, 'neu': 0.359, 'pos': 0.175, 'compound': -0.6721}",Negative
268,20. Service was quick as there are various counters for taking the respective item. Seating is horrible as crowd is in huge quantity but not seen any seating. They just took food and sit on floor where ever they got place.,"{'neg': 0.211, 'neu': 0.482, 'pos': 0.307, 'compound': 0.1531}",Positive
269,"21. Perfect punjabi food. Butter chicken and dal makhani are too good. In fact all the items like fish, kathi roll, kababs etc that we have tried over time are awesome. Wish the ambience was a little better but that is too less a price one has to pay for the yummiest food it offers","{'neg': 0.0, 'neu': 0.273, 'pos': 0.727, 'compound': 0.9433}",Positive
270,"22. Had heard a lot that Rajendar is not the same anymore. I used to love this place when I was in college. The food turned out to be a nightmare. Ordered half butter chicken, 2 sick pieces landed in a watery gravy. Dal Makhni was as good as a roadside dhaba. I wish someone drills some sense into them to get the old quality back. One star because can't give zero!","{'neg': 0.175, 'neu': 0.529, 'pos': 0.296, 'compound': 0.3182}",Positive
271,23. We have been to this restaurant four times now and everytime the experience has been amazing. butter chicken and galouti kebabs are amazing. staffs are friendly and the pricing is right too,"{'neg': 0.0, 'neu': 0.217, 'pos': 0.783, 'compound': 0.8957}",Positive
272,"24. I went first time to this place order butter chicken ,tawachicken,panner butternaan,muttongaloti .tawa chicken i will give 4star butterchicken is taste as masala butter chicken so i will give 3 star and mutton galoti i will give 4 star overall i like their which they known for and mutton galoti","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
273,25. Best place i can say for the one who loves non veg. Variety of non veg options here. Tried many dishes here but i can say i liked butter chicken the most. there kabab also very nice.,"{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7906}",Positive
274,"26. Great place to have authentic North Indian food, everything we tried here was awesome be it butter chicken or chicken tikka the naan was so soft.. would love to come again at this place","{'neg': 0.0, 'neu': 0.326, 'pos': 0.674, 'compound': 0.9246}",Positive
275,27. Cut above the rest. If you r in Delhi make sure to visit this place super yummy Chicken Curry worth every penny,"{'neg': 0.0, 'neu': 0.11, 'pos': 0.89, 'compound': 0.7964}",Positive
276,"28. Hi, It s a great place if you looking to eat roasted stuff. We ordered Galouti Kebaba with Mughlai nan , chicken burra and their famous chicken satay. They all were ready in less than 5 minutes. Actually tasty. However, after that we got into the restaurant to ty some curries which was bit of a disappointment. Good for starters. Pricing ok not to expensive either. Don t forget to follow me","{'neg': 0.168, 'neu': 0.453, 'pos': 0.379, 'compound': 0.7579}",Positive
277,"29. Best chicken curry and mutton curry, casual sitting area around market complex. Open till late night. Fish and chicken shashlik is equally good. Little bit pricey but taste really good","{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.8957}",Positive
278,"30. One of the most crowded places very popular for non veg dishes .. always get waiting .. the food is really good and prices are decent , the service is really quick","{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.7178}",Positive
279,"31. Ordered Chicken Curry through Zomato, however what i got was a completely horrible dish. The oil was solidifying in the dish ( U can see the red spots on the dish). The excess oil that i had taken out in a bowl, has completely solidified. Wasn't expecting such quality from this restaurant. Would suggest, keep your health in mind and not to order from here.","{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.5849}",Negative
280,"32. New Year celebrations started with the impromtu visit to this iconic place serving lip smacking delectable food where service , food quality , taste was at par !","{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.5994}",Positive
281,33. I ordered dahi ke kebab10/10 never ever had such soft cotton balls with minimal oil and so succullent simply i could say Wowwww !!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
282,"34. I just loved the Gilouti Roll and Chicken Shawarma rolls. The food was neatly packed and was delivered warm despite cold Delhi weather. Well cooked chicken and Gilouti was made just the way it should be. I am from Lucknow and I would like to say, it was better than Tunday Kebabs!","{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.8689}",Positive
283,35. Crowded all the time...where you see people eating outside as the dine in restaurant price is almost 30 percent higher...we tried their grill chicken and butter chicken...it's too good...very economical...give it a tr,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",Positive
284,"36. This place has been so popular, people were waiting in queue for their turn to come, sitting on stairs and having food....superb experience....lot of varieties of food....it s like a small city they have made.....ordered shawrma roll , fried chicken wings, biryani , satay, grilled chicken etc.....every single dish was just a Wao,","{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",Positive
285,37. No staff interested in customer satisfaction..Saw a mouse on the restaurant floor. Food is alright though the restaurant deserves a one star for its management.,"{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.5719}",Positive
286,"38. I went to this place with my friends. The first view of the place that you will get is people sitting on the footpath and enjoying their meal. There is no seating area . Though they have tables where you can eat standing. Coming to the food i tried their butter chicken , chicken curry and shahi paneer. All the dishes were really good. The chicken pieces were very tender and juicy. I loved the butter chicken here.","{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.895}",Positive
287,"39. They re extremely cheap. Soya tikka was bland, naan was not fresh and chicken was raw. And they gave us one chutney. Extremely cheap.","{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.3774}",Positive
288,40. Unbeatable. Melt-in-mouth Galouti Kebab and the Chicken Curry is to die for!! Must visit.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
289,41. Food was not up to the reviews. Only chicken satay was good and tender. Galauti kebab was not perfectly cooked. Chicken curry n butter chicken was very bad. Ppl from South Indian better don't go there,"{'neg': 0.189, 'neu': 0.27, 'pos': 0.541, 'compound': 0.7579}",Positive
290,42. The staff is very rude and the service is very poor.In the name of dahi kabab they served us dahi kabab with extreme sweet dahi when i complained about the same the staff was very rude,"{'neg': 0.537, 'neu': 0.185, 'pos': 0.278, 'compound': -0.4215}",Negative
291,43. Not worth the hype staff is not welcoming and very rude would recommend some other places.This place ks not recommended,"{'neg': 0.0, 'neu': 0.099, 'pos': 0.901, 'compound': 0.7964}",Positive
292,"44. So I'd heard a lot about Rajinder da dhabha through my friends, so I visited here for the first time today. I ordered roti & Chicken curry, tbh, I fall in love with the taste . The service is very fast, prices are pretty good considering the location & quality and taste of their food. The only drawback is the seating space. Most of the time you'll have to eat by sitting on the footpath. But still, I would absolutely recommend it.","{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.92}",Positive
293,45. The verdict is that this place is highly crowded but you get food in a jiffy because all the food is prepared in the bulk. This place is highly overrated and overpriced. Best for Alcoholics. I heard so much about this place but nothing is like this,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.7251}",Positive
294,46. I ordered veg tandoori platter and rumali roti. To say the truth I didnt like it very much. Tandoori Platter was tasteless. Soya chaap the worst and vegetable were raw and not cooked. They didn't provide me with chutney or onions. In all I was really disappointed as I heard much about this place and it turned to be so bad.,"{'neg': 0.311, 'neu': 0.586, 'pos': 0.104, 'compound': -0.6801}",Negative
295,47. best outlet nice food nice service nice service good staff glad to be there happy to eat pizza never ate a pizzaa like this outlet so happy amazing food,"{'neg': 0.0, 'neu': 0.08, 'pos': 0.92, 'compound': 0.9716}",Positive
296,"48. We had the chicken satay, which was just too yum, and u cud nvr hv enough of it. Also tried the chicken biryani - served in handi, tasty and the rice is cooked to perfection. Also tried the chicken curry (in mutton gravy) - which iz a must try, along with tandoor butter roti. Fast service -5/5, taste -4/5. You can either chose to sit outside or inside their restaurant. If u sit outside, they 'll pack n give it for takeaway, which u can then hv then n there (on the floor) in the RDX premises.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
297,49. Come here for the food. So much variety in chicken. You won't be disappointed. Good service. The only annoying thing about this place is there is no proper sitting area - there is a space to stand or sit on the curb and eat. Nice snacking experience.,"{'neg': 0.352, 'neu': 0.303, 'pos': 0.345, 'compound': -0.0258}",Neutral
298,"50. This place is a jem for foodies!! The environment, ambiance is unique in its own way. You will find groups eating their meals under the sky.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
299,"1. I thought chicken masala is their speciality but trust me guys, yesterday when I ordered it from here, it was disgusting, very disgusting, my hunger just went away, this place is more like naam bade aur darshan chhote, please don't go on ratings and the big name, food is disgusting","{'neg': 0.593, 'neu': 0.407, 'pos': 0.0, 'compound': -0.8807}",Negative
300,"2. The food here used to be so good but now the quality has gone way down. No flavours in the food, looks like the smaller joints are doing way better. Will refrain from ordering again. I ordered chicken masala, mutton korma, biryani and rotis.","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}",Positive
301,"3. Ordered mutton roganjosh and mutton biryani. Mutton roganjosh was not cooked properly, pieces of mutton were under cooked and biryani was tasteless. I don't know what happened to dastarkhwan there quality is degrading and prices are increasing day by day. Disappointed!","{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.7845}",Negative
302,4. Food not cooked welll uncooked mutton food please don't order any one very bad quality,"{'neg': 0.636, 'neu': 0.364, 'pos': 0.0, 'compound': -0.5423}",Negative
303,"5. Food was really bad. Cant even describe. There was excess salt in kebab, mutton and chicken. Being born and brought up in lko, i always used to eat at dastarkhwan bt in the past few years they have just turned worse. I had severe stomach ache and food poisoning after eating d food. Do not recommend to anyone.","{'neg': 0.478, 'neu': 0.432, 'pos': 0.09, 'compound': -0.8955}",Negative
304,"6. We visited this place on a recommendation of a few local shopkeepers for gilauti kebabs. Got a few plates of the kebabs packed mistaking them for the famous tundey ke kebab. Also ordered their chicken biryani. The quantity they serve is good. The kebabs were tender but they disappointed us a bit as they were not as tender and melt in the mouth as the tundey ke kebabs. However keeping the comparison aside, the kebabs tasted nice and the quantity per plate is also quite good. They served us some chicken Masala also for tasting. The biryani was good. The food is worth the price. Good place to eat out.","{'neg': 0.114, 'neu': 0.527, 'pos': 0.358, 'compound': 0.8779}",Positive
305,"7. I ordered for a quarter chicken masala, and I happened to receive it in a cardboard box. The gravy has almost dried and lost its essence. I hope the next time I order, I receive my food nicely packed.","{'neg': 0.156, 'neu': 0.619, 'pos': 0.224, 'compound': 0.2212}",Positive
306,"8. Im a fan of their Chicken masala and Biryani. Taste is more or less the same since ages. Else, the kebabs can be given a miss...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
307,"9. To begin with, crowd management is poor, the food is made in an open kitchen, often without sufficient care for hygiene, and lastly, the staff is so rude, you would wonder if they are doing you a service by feeding you for free..","{'neg': 0.189, 'neu': 0.61, 'pos': 0.201, 'compound': 0.0516}",Positive
308,"10. Food is nice but they always give wrong orders , i had ordered chicken masala and got biryani , and it's been several times","{'neg': 0.24, 'neu': 0.543, 'pos': 0.217, 'compound': -0.0772}",Negative
309,11. I just can't share my experience in my words. One of the best places to have non veg kebabs and paratha. Great same old authentic taste. Just can't miss eating here if you ever go to Lucknow. Best treat for hard core non vegetarians. Highly recommended. Keep it up guys,"{'neg': 0.052, 'neu': 0.3, 'pos': 0.648, 'compound': 0.9509}",Positive
310,"12. This place is known as the Dastarkhawan and thus can offer you a good variety of nawabi food in its charming nawabi atmosphere. If you are a lover of non-veg dishes, Dastarkhwan can be nothing less than a treat for you. From delicious kebabs to mutton, Dastarlhawan has everything that you can think of. The best thing of this place is kabab paratha, Must visit if you are in lucknow.","{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.9607}",Positive
311,"13. Having visited Lucknow without being here is a mistake. We tried boti kebabs, mutton biriyani and butter chicken. We decided to have qorma but unfortunately was not available, as was the case with seekh kebab too. Anyway, what we had was heavenly, specially the biriyani. Everyone should give it a try.","{'neg': 0.156, 'neu': 0.584, 'pos': 0.26, 'compound': 0.3818}",Positive
312,"14. very bad food, got sick and staff is super rude. was in lucknow , saw rating and wanted to try. it was a failure","{'neg': 0.463, 'neu': 0.272, 'pos': 0.265, 'compound': -0.4404}",Negative
313,"15. Fortunate enough to get a place to sit and have food during Saturday late evening... Wonderful atmosphere, almost open air... Chilli weather...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
314,16. It is one of my favorite place which serves authentic mughlai and awadhi cuisines at the nominal prices. The food is really really very yummy so I recommend you all if you are a non veg lover and wanna eat some mughlai cuisines. Hop in to this place once and I guarantee you will not regret. The ambience of this place is up to the mark as this is mughlai theme based.The service was very good. So overall experience was very nice.,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.8712}",Positive
315,17. Wonderful place...Every meat lover must go to while visiting Lucknow. A wide array of dishes and starters. You just can't miss eating everything that is on the menu. The prices are very reasonable...Good options for vegetarians also..MUST GO!,"{'neg': 0.088, 'neu': 0.549, 'pos': 0.363, 'compound': 0.7184}",Positive
316,18. Cozy place. Really tasty food. Hygienic place and fast service.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
317,19. If you vist lucknow then this onevis a must visit place. Authentic nawabi cuisine. Staffs are very friendly and they serve the best food. Galawati kabab is my personal favorite and highly recommend,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.9216}",Positive
318,20. Wrong order delivered. Bad taste And in hurry I rated them 5,"{'neg': 0.767, 'neu': 0.233, 'pos': 0.0, 'compound': -0.765}",Negative
319,21. Today ordered mughlai paratha along with galawti kabas But Taste of mughlai paratha is little bit sweet. So ruined all my kabab paratha taste.,"{'neg': 0.268, 'neu': 0.475, 'pos': 0.257, 'compound': -0.0296}",Neutral
320,22. OK food polite n service. No AC so a tad uncomfortable. Mutton Biryani was over flavoured with rose water & way too oily good portion though. Mutton Galoti was not as good as Tunday but still OK. Chicken Masala a highly rated dish turned out to be too rich & way too flavoured disappointing,"{'neg': 0.208, 'neu': 0.287, 'pos': 0.505, 'compound': 0.8055}",Positive
321,"23. Amazing taste, with amazing service and staff are very good","{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.8885}",Positive
322,"24. When in Lucknow this is one of the must go places, They have been serving the authentic royal mughlai reciepes to the commoners since long. From lip-smacking Galouti kebab  and mutton rogan josh, chicken biryani and shami kebab, this restaurant is a non-vegetarian s delight. However, the star of its mouthwatering menu is undoubtedly the boti kebab, small pieces of boneless mutton slow-cooked in a thick gravy. Interestingly, did you know","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.4019}",Positive
323,25. It's not the ambience but delicacies that attract everyone.And it rightfully suits this place.,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",Positive
324,26. One of the best places to try traditional Awadhi cuisine. The boti kebab is very nice and the other kebabs are also good. Must try for some amazing food from Lucknow,"{'neg': 0.0, 'neu': 0.226, 'pos': 0.774, 'compound': 0.9287}",Positive
325,"27. Awesome place awesome food ..... A must visit place in Lucknow. All the dishes are good but one must try butter chicken, galawati kabab and chicken masala.","{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.9022}",Positive
326,"28. Dastarkhwan is one of my favorite restaurants from my childhood. i ordered half chicken biryani last night, the specialty of dastarkhwan is taste and quantity. three persons ate from that half of biryani and still the food is saved.","{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",Positive
327,29. Good outlet. Great seating space and outlay. Good and quick food. The taste can be made marginally better but overall it's an enjoyable experience if you're looking for a full scale non veg restaurant with authentic Lucknow cuisine.,"{'neg': 0.0, 'neu': 0.316, 'pos': 0.684, 'compound': 0.9342}",Positive
328,"30. Worst service by Dastarkhwan ,i ordered chiken korma but they delivered boffolow mutton.I am very disappointed for this kind of service.vary bad .","{'neg': 0.717, 'neu': 0.283, 'pos': 0.0, 'compound': -0.8225}",Negative
329,31. Dastarkhan..shameful to you. We ordered khadi panner and we received khadai chicken. Being pure vegetarian now this negligence was not at all acceptable. Restaurant said galti ho gyi.. I mean being one of the biggest chain and having proper channel how can you make such mistake. Let's see where zomato will post this review. Waiting.,"{'neg': 0.122, 'neu': 0.761, 'pos': 0.117, 'compound': -0.0258}",Neutral
330,"32. Want to have the best non-veg in Lucknow, this place is a must visit. Although the rates are at a bit higher end, but you'll not be disappointed with the quality and quantity of the food. Such an old restaurant, yet maintaining it's pride and dignity. Hat's off!","{'neg': 0.233, 'neu': 0.451, 'pos': 0.316, 'compound': 0.2732}",Positive
